epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
0,0.08885625379532576,0.08885625379532576,0.0001,0,24-08-25-07-03-20
1,0.06593962620384991,0.06593962620384991,0.0001,0,24-08-25-07-14-13
2,0.06288266866654157,0.06288266866654157,0.0001,0,24-08-25-07-25-07
3,0.06136164030432701,0.06136164030432701,0.0001,0,24-08-25-07-36-00
4,0.06002114608325064,0.06002114608325064,0.0001,0,24-08-25-07-46-53
5,0.060031181566417215,0.06002114608325064,0.0001,1,24-08-25-07-57-34
6,0.060028796831145884,0.06002114608325064,0.0001,2,24-08-25-08-08-16
7,0.058788647504523395,0.058788647504523395,0.0001,0,24-08-25-08-19-10
8,0.05929154908657074,0.058788647504523395,0.0001,1,24-08-25-08-29-52
9,0.05902848856151104,0.058788647504523395,0.0001,2,24-08-25-08-40-34
10,0.05802184883505106,0.05802184883505106,0.0001,0,24-08-25-08-51-27
11,0.05813813823647797,0.05802184883505106,0.0001,1,24-08-25-09-02-08
12,0.05828963622823358,0.05802184883505106,0.0001,2,24-08-25-09-12-50
13,0.05744287897273898,0.05744287897273898,0.0001,0,24-08-25-09-23-44
14,0.05773658926412463,0.05744287897273898,0.0001,1,24-08-25-09-34-25
15,0.05747923023812473,0.05744287897273898,0.0001,2,24-08-25-09-45-07
16,0.057054832773283125,0.057054832773283125,0.0001,0,24-08-25-09-56-01
17,0.05698533185943961,0.05698533185943961,0.0001,0,24-08-25-10-06-52
18,0.056737011078745125,0.056737011078745125,0.0001,0,24-08-25-10-17-45
19,0.05770823015831411,0.056737011078745125,0.0001,1,24-08-25-10-28-26
20,0.057515116542577745,0.056737011078745125,0.0001,2,24-08-25-10-39-08
21,0.05690694374218583,0.056737011078745125,0.0001,3,24-08-25-10-49-49
22,0.056656121458858254,0.056656121458858254,0.0001,0,24-08-25-11-00-43
23,0.05649794958345592,0.05649794958345592,0.0001,0,24-08-25-11-11-35
24,0.057443148089572786,0.05649794958345592,0.0001,1,24-08-25-11-22-16
25,0.05556794105842709,0.05556794105842709,0.0001,0,24-08-25-11-33-10
26,0.05569472511485219,0.05556794105842709,0.0001,1,24-08-25-11-43-51
27,0.056392253799363974,0.05556794105842709,0.0001,2,24-08-25-11-54-32
28,0.05597944141179323,0.05556794105842709,0.0001,3,24-08-25-12-05-14
29,0.05578212562762201,0.05556794105842709,0.0001,4,24-08-25-12-15-56
30,0.05627408524602651,0.05556794105842709,0.0001,5,24-08-25-12-26-38
31,0.05566821165569127,0.05556794105842709,0.0001,6,24-08-25-12-37-20
32,0.056028752183541655,0.05556794105842709,5e-05,7,24-08-25-12-48-02
33,0.05547583615593612,0.05547583615593612,5e-05,0,24-08-25-12-58-56
34,0.05555204814486205,0.05547583615593612,5e-05,1,24-08-25-13-09-37
35,0.05558122457750141,0.05547583615593612,5e-05,2,24-08-25-13-20-19
36,0.05497001074440777,0.05497001074440777,5e-05,0,24-08-25-13-31-12
37,0.055418236462399365,0.05497001074440777,5e-05,1,24-08-25-13-41-53
38,0.05495494338870049,0.05495494338870049,5e-05,0,24-08-25-13-52-46
39,0.05512890757620335,0.05495494338870049,5e-05,1,24-08-25-14-03-27
40,0.05482273332215846,0.05482273332215846,5e-05,0,24-08-25-14-14-20
41,0.054808665931224826,0.054808665931224826,5e-05,0,24-08-25-14-25-13
42,0.05525062876008451,0.054808665931224826,5e-05,1,24-08-25-14-35-55
43,0.054769883150234816,0.054769883150234816,5e-05,0,24-08-25-14-46-51
44,0.05524831826984882,0.054769883150234816,5e-05,1,24-08-25-14-57-32
45,0.055318582536652686,0.054769883150234816,5e-05,2,24-08-25-15-08-14
46,0.0548839697856456,0.054769883150234816,5e-05,3,24-08-25-15-18-55
47,0.05557981483452022,0.054769883150234816,5e-05,4,24-08-25-15-29-37
48,0.055252131193876265,0.054769883150234816,5e-05,5,24-08-25-15-40-18
49,0.05511532508023083,0.054769883150234816,5e-05,6,24-08-25-15-51-00
50,0.05475530168414116,0.05475530168414116,2.5e-05,0,24-08-25-16-01-53
51,0.054596485218033196,0.054596485218033196,2.5e-05,0,24-08-25-16-12-46
52,0.054630771856755016,0.054596485218033196,2.5e-05,1,24-08-25-16-23-27
53,0.05484646015241742,0.054596485218033196,2.5e-05,2,24-08-25-16-34-08
54,0.05412855189107359,0.05412855189107359,2.5e-05,0,24-08-25-16-45-02
55,0.05438913313113153,0.05412855189107359,2.5e-05,1,24-08-25-16-55-42
56,0.05453918662853539,0.05412855189107359,2.5e-05,2,24-08-25-17-06-24
57,0.05410057571716607,0.05410057571716607,2.5e-05,0,24-08-25-17-17-18
58,0.054972798788920044,0.05410057571716607,2.5e-05,1,24-08-25-17-28-01
59,0.054048468133434655,0.054048468133434655,2.5e-05,0,24-08-25-17-38-56
60,0.054617160124704245,0.054048468133434655,2.5e-05,1,24-08-25-17-49-37
61,0.054713285958394406,0.054048468133434655,2.5e-05,2,24-08-25-18-00-18
62,0.054523840045556424,0.054048468133434655,2.5e-05,3,24-08-25-18-10-59
63,0.053950307497754695,0.053950307497754695,2.5e-05,0,24-08-25-18-21-52
64,0.0549443828817457,0.053950307497754695,2.5e-05,1,24-08-25-18-32-35
