epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
0,0.08862853173166513,0.08862853173166513,0.0001,0,23-08-25-17-38-17
1,0.056404330549761655,0.056404330549761655,0.0001,0,23-08-25-17-49-27
2,0.04944927922077477,0.04944927922077477,0.0001,0,23-08-25-18-00-37
3,0.047129444437101486,0.047129444437101486,0.0001,0,23-08-25-18-11-47
4,0.045966713715344665,0.045966713715344665,0.0001,0,23-08-25-18-22-56
5,0.04502393746189773,0.04502393746189773,0.0001,0,23-08-25-18-34-07
6,0.044693487683311106,0.044693487683311106,0.0001,0,23-08-25-18-45-17
7,0.043777149818837645,0.043777149818837645,0.0001,0,23-08-25-18-56-27
8,0.043583845224231484,0.043583845224231484,0.0001,0,23-08-25-19-07-38
9,0.04309117495641112,0.04309117495641112,0.0001,0,23-08-25-19-18-48
10,0.04322215799987316,0.04309117495641112,0.0001,1,23-08-25-19-29-46
11,0.04258285771496594,0.04258285771496594,0.0001,0,23-08-25-19-40-57
12,0.04277462833747268,0.04258285771496594,0.0001,1,23-08-25-19-51-55
13,0.04185464094765484,0.04185464094765484,0.0001,0,23-08-25-20-03-06
14,0.041884009746834636,0.04185464094765484,0.0001,1,23-08-25-20-14-03
15,0.04155323298648,0.04155323298648,0.0001,0,23-08-25-20-25-13
16,0.0419648451320827,0.04155323298648,0.0001,1,23-08-25-20-36-11
17,0.0413578570317477,0.0413578570317477,0.0001,0,23-08-25-20-47-22
18,0.040885666379705074,0.040885666379705074,0.0001,0,23-08-25-20-58-32
19,0.04085719459038228,0.04085719459038228,0.0001,0,23-08-25-21-09-43
20,0.04072406016103923,0.04072406016103923,0.0001,0,23-08-25-21-20-53
21,0.04047444750647992,0.04047444750647992,0.0001,0,23-08-25-21-32-03
22,0.04042900857888162,0.04042900857888162,0.0001,0,23-08-25-21-43-14
23,0.0410082067027688,0.04042900857888162,0.0001,1,23-08-25-21-54-12
24,0.04032295625284314,0.04032295625284314,0.0001,0,23-08-25-22-05-22
25,0.040620944444090125,0.04032295625284314,0.0001,1,23-08-25-22-16-21
26,0.04051366489566863,0.04032295625284314,0.0001,2,23-08-25-22-27-19
27,0.040219663811847564,0.040219663811847564,0.0001,0,23-08-25-22-38-30
28,0.040151048263534904,0.040151048263534904,0.0001,0,23-08-25-22-49-40
29,0.039790296910330654,0.039790296910330654,0.0001,0,23-08-25-23-00-50
30,0.0400003942232579,0.039790296910330654,0.0001,1,23-08-25-23-11-48
31,0.040454461302608255,0.039790296910330654,0.0001,2,23-08-25-23-22-47
32,0.03976328418590128,0.03976328418590128,0.0001,0,23-08-25-23-33-59
33,0.03984487595036626,0.03976328418590128,0.0001,1,23-08-25-23-44-57
34,0.039988031812012194,0.03976328418590128,0.0001,2,23-08-25-23-55-55
35,0.04010970542952418,0.03976328418590128,0.0001,3,24-08-25-00-06-53
36,0.03986360577866435,0.03976328418590128,0.0001,4,24-08-25-00-17-51
37,0.040075701208785175,0.03976328418590128,0.0001,5,24-08-25-00-28-49
38,0.039687814641743896,0.039687814641743896,0.0001,0,24-08-25-00-39-59
39,0.03979406257346273,0.039687814641743896,0.0001,1,24-08-25-00-50-58
40,0.039495493799448014,0.039495493799448014,0.0001,0,24-08-25-01-02-08
41,0.040003923758864406,0.039495493799448014,0.0001,1,24-08-25-01-13-07
42,0.039426430318504575,0.039426430318504575,0.0001,0,24-08-25-01-24-17
43,0.039080351734533905,0.039080351734533905,0.0001,0,24-08-25-01-35-28
44,0.03991770454309881,0.039080351734533905,0.0001,1,24-08-25-01-46-27
45,0.03988631570525467,0.039080351734533905,0.0001,2,24-08-25-01-57-26
46,0.039265985714271666,0.039080351734533905,0.0001,3,24-08-25-02-08-25
