epoch,avg_loss,best_loss,current_lr,no_improve_count,timestamp
0,0.054214085450395945,0.054214085450395945,0.0001,0,25-08-25-21-27-23
1,0.032691847123205664,0.032691847123205664,0.0001,0,25-08-25-21-38-07
2,0.027904197819530963,0.027904197819530963,0.0001,0,25-08-25-21-48-51
3,0.026268414025660606,0.026268414025660606,0.0001,0,25-08-25-21-59-35
4,0.025331364003941415,0.025331364003941415,0.0001,0,25-08-25-22-10-20
5,0.02456089752120897,0.02456089752120897,0.0001,0,25-08-25-22-21-04
6,0.024320880549959838,0.024320880549959838,0.0001,0,25-08-25-22-31-48
7,0.023695258239749818,0.023695258239749818,0.0001,0,25-08-25-22-42-32
8,0.023494393086992204,0.023494393086992204,0.0001,0,25-08-25-22-53-16
9,0.02317519562644884,0.02317519562644884,0.0001,0,25-08-25-23-04-01
10,0.023307568836025895,0.02317519562644884,0.0001,1,25-08-25-23-14-34
11,0.02288662201911211,0.02288662201911211,0.0001,0,25-08-25-23-25-20
12,0.02305664534168318,0.02288662201911211,0.0001,1,25-08-25-23-35-53
13,0.022243863535113633,0.022243863535113633,0.0001,0,25-08-25-23-46-38
14,0.02237674392852932,0.022243863535113633,0.0001,1,25-08-25-23-57-11
15,0.02216430859034881,0.02216430859034881,0.0001,0,26-08-25-00-07-56
16,0.022440228825435043,0.02216430859034881,0.0001,1,26-08-25-00-18-29
17,0.0220165890827775,0.0220165890827775,0.0001,0,26-08-25-00-29-15
18,0.02165620537661016,0.02165620537661016,0.0001,0,26-08-25-00-40-00
19,0.02163935686694458,0.02163935686694458,0.0001,0,26-08-25-00-50-44
20,0.021652364398818465,0.02163935686694458,0.0001,1,26-08-25-01-01-18
21,0.021400565171148626,0.021400565171148626,0.0001,0,26-08-25-01-12-03
22,0.021354629742912946,0.021354629742912946,0.0001,0,26-08-25-01-22-47
23,0.021914727123919873,0.021354629742912946,0.0001,1,26-08-25-01-33-21
24,0.021343420249875636,0.021343420249875636,0.0001,0,26-08-25-01-44-06
25,0.021640379076823594,0.021343420249875636,0.0001,1,26-08-25-01-54-40
26,0.021500336000695824,0.021343420249875636,0.0001,2,26-08-25-02-05-13
